,news_text,category
0,"국민일보DB과거 직장 동료였던 남성의 집에 여러 차례 무단 침입한 40대 여성이 경찰에 체포돼 구금조치됐다.전남 담양경찰서는 26일 스토킹 범죄의 처벌 등에 관한 법률 위반, 주거침입 혐의로 A씨(40대·여)를 입건했다고 밝혔다.A씨는 지난해 12월부터 이달 초까지 총 7차례에 걸쳐 전남 담양군에 있는 B씨의 집에 몰래 들어가 정신적으로 괴롭힌 혐의를 받고 있다. A씨는 B씨가 거부 의사를 밝혔음에도 몰래 무단 침입해 음식을 차리고 청소 등을 한 것으로 조사됐다.A씨는 B씨 자택 문에 잠금장치가 안 걸려 있다는 점을 노려 스토킹을 이어간 것으로 전해졌다. 이 과정에서 B씨가 “싫으니 오지 말아 달라”고 했지만, A씨는 “몸이 허한 것 같으니 보약을 해주겠다”, “집안일을 해주겠다”며 방문을 멈추지 않았다.경찰은 지난 3월까지 A씨가 6차례 B씨의 집에 침입하자 법원에 스토킹 가해자·피해자를 분리하는 잠정 조치를 신청했고, 1∼3호 조치를 했다.잠정조치 1호는 서면 경고, 2호는 피해자·주거지 등 100ｍ 이내 접근금지, 3호는 전기통신 이용 접근금지, 4호는 유치장 또는 구치소에 최대 한 달간 구금된다. 경찰은 이달 초 B씨가 법원에 신청한 접근 금지 명령이 받아들여진 이후에도 A씨의 스토킹이 계속되자 4호 조치를 했다.법원이 필요하다고 인정하는 경우 경찰은 스토킹 행위자를 최대 1개월 동안 경찰서 유치장이나 구치소에 유치할 수 있다. 가해자를 강제로 격리해 피해자를 실질적으로 보호할 수 있는 조치다.지난해 4월 제정된 스토킹 처벌법에 따르면 지속적·반복적으로 스토킹을 할 경우 3년 이하의 징역이나 3000만원 이하의 벌금을 받는다. 만약 흉기 등 위험한 물건을 이용할 경우 5년 이하 징역이나 5000만원 이하로 형량이 가중된다.",249
1,"[천안=뉴시스] 이종익 기자 = 지난 13일 두쌍의 부부에게 흉기를 휘둘러 아내 2명을 숨지게 한 혐의로 검거된 50대 남성이 15일 오후 대전지법 천안지원에서 구속 전 피의자 심문(영장실질심사)에 출석한 뒤 경찰 호송차로 이동하고 있다. (사진=독자 제공) 2022.04.15. photo@newsis.com  *재판매 및 DB 금지[천안=뉴시스] 이종익 기자 = 충남 천안에서 사촌형제 부부에게 흉기를 휘둘러 아내 2명을 숨지게 한 50대 남성이 검찰에 송치됐다. 청와대 국민청원 게시판에는 이 남성의 신상공개를 재검토해 달라는 새로운 청원이 올라왔다. 충남 천안서북경찰서는 살인 및 살인미수 혐의로 구속된 A(54)씨를 최근 검찰에 구속 송치했다고 26일 밝혔다.경찰에 따르면 A씨는 지난 13일 0시14분 천안시 서북구 노래방 앞에서 시비가 붙은 부부 두 쌍에게 흉기를 휘둘러 30대 여성 2명을 살해하고 남성 2명에게 중경상을 입힌 혐의를 받고 있다.조사결과 A씨는 부부 일행 중 남성 1명과 노래방 안에서 말다툼을 벌였으며 노래방 밖에서 또다시 시비가 일자 자신의 차에서 흉기를 가져와 휘두른 것으로 드러났다.A씨는 경찰조사에서 ""나이도 어린게라는 생각에 격분했다""면서도 시비가 빚어진 이유는 기억나지 않는다는 취지로 진술했다. 피해 남성들도 다툰 이유가 기억나지 않는다고 진술했다.청와대 국민청원 게시판  *재판매 및 DB 금지청와대 국민청원 게시판에는 지난 25일 A씨에 대한 신상공개 재검토를 요구하는 청원글이 올라왔다. 30년 친구라고 주장한 청원인은 ""친구는 응급상황을 몇 차례 넘기며 수술을 받아야 했고. 친동생처럼 아끼던 동생은 사망했다""며 ""남편도 없는 장례를 치러야 했고 장례식 당일에서야 엄마의 부고를 접한 초등학교 5학년, 4학년 아이들. 상주복을 입고 영정사진을 들고 화장터로 향하는 이 아이들에 발걸음을 누가 위로해 주는가""라고 호소했다. 이 청원글에는 26일 오후 5시 기준 1100여명이 동의했다.앞서 지난 14일에도 A씨의 신상공개를 요구하는 국민청원이 올라와 1만6000여명의 동의를 얻었다.",249
2,"[경향신문] 이정수 서울중앙지검장이 26일 오전 서울 서초구 중앙지검에서 열린 검수완박(검찰 수사권 완전 박탈) 중재안 설명회에서 발언하고 있다. 연합뉴스‘검수완박’(검찰 수사권 완전 박탈) 입법이 초읽기에 들어가자 검찰의 입법 반대 여론전도 전면화하고 있다. 일선 검찰청부터 대검까지 사실상 검찰의 전 조직이 뛰어든 것이다. 전국 최대 검찰청인 서울중앙지검은 26일 설명회를 열고 여야가 합의한 박병석 국회의장의 중재안을 재고해달라고 촉구했다. 이정수 서울중앙지검장은 “공정성·중립성 논란에서 자유롭지 못했고, 책임을 통감한다”며 “그렇다고 검찰의 본질적 기능을 폐지하는 쪽으로 가서는 안된다”고 했다.그는 “국민적 의혹이 큰 사건들이 집중돼 있는 중앙지검마저 입장표명을 하게 되면 새로운 논란을 불러일으키지 않을까하는 걱정 때문에 주저해왔다”며 “조만간 (법안이) 본회의까지 간다는 이야기가 들리고 해서 지푸라기라도 잡고 싶은 심정에 이 자리를 마련하게 됐다”고 했다.이 지검장은 중재안에 수사의 공정성을 담보할 장치는 오히려 부족하다고 주장했다. 그는 “수사검사와 기소검사를 나누면 뭐하느냐. 어차피 다 같은 검사”라며 “개인적으로는 시민의 통제, 의회의 통제가 가장 바람직하다고 본다”고 했다. 설명회에는 정진우 1차장, 박철우 2차장, 진재선 3차장, 김태훈 4차장, 윤진웅 사무국장 등이 참석했다. 서울동부지검도 이날 개별 보이스피싱 사건에 대해 이례적으로 브리핑을 열었다. 공보준칙이 엄격해진 뒤로 사라졌던 언론 공개 브리핑을 자청해 중재안에 반대하는 여론전의 무대로 활용한 것이다. 동부지검은 4700만원을 가로챈 혐의로 경찰에서 송치된 A씨 사건을 보완수사해 A씨가 속한 기업형 보이스피싱 조직의 실체를 확인했다고 했다. 검찰은 이들 조직이 보이스피싱 피해자금 약 15억원을 중국으로 빼돌린 사실을 확인하고 조직원 4명을 재판에 넘겼다.동부지검은 중재안이 국회를 통과하면 검찰의 보완수사 범위가 제한돼 보이스피싱 등 지능범죄 수사도 제약받는다고 주장했다. 중재안은 경찰이 송치한 범죄사실과 동일한 범위 내에서만 검찰이 보완수사를 할 수 있도록 규정한다. 이곤후 강력범죄전담부 부장검사는 “이 사건은 검찰의 보완수사가 현실에서 어떻게 일반 서민과 국익을 보호하는지 생생하게 보여주는 것”이라며 “검찰의 보완수사 범위를 한정하는 방향으로 입법이 현실화된다면 보이스피싱과 같은 중대한 수사에 법적 공백이 발생하고 국민을 범죄로부터 보호하지 못하는 모순된 결과를 초래할 것”이라고 했다.전국 18개 검찰청의 선거전담 부장검사들은 이날 입장문을 내고 선거범죄 수사권 이관에 따른 수사 공백을 우려했다. 이들은 “선거사건은 법리가 난해하고, 권력형 비리가 개입된 사건은 그 은밀성 때문에 증거수집도 쉽지 않으며 재판 과정에서 많은 변수가 발생한다”며 “검찰의 선거사건 대응 역량을 무력화 시키는 것이 과연 국민을 위한 것이냐”고 했다.",249
3,"천안 흉기 난동 피해자 지인, 국민청원 글""가해자 엄벌 및 신상공개 해달라""천안 부부모임 흉기난동 사건. / 사진=채널A천안 부부 모임 흉기 난동 피해자 친구가 해당 사건에 대해 언급했다.지난 25일 청와대 국민청원 홈페이지에는 '천안 50대 흉기 난동 사건 신상공개 재검토를 부탁드립니다'라는 제목의 청원이 올라왔다.청원인 A 씨는 자신을 부부 모임 흉기 난동 사건 피해자의 30년 지기라고 밝히며 ""살해범이 계획적이고 잔혹하게 범행했다""고 주장했다.A 씨는 ""이 사건으로 제 30년 지기 친구가 응급 상황을 몇 차례 넘기며 수술받아야 했고 친동생처럼 아끼던 동생은 사망했다""며 ""소식을 아이들에게 알릴 수 없어 장례식 당일에서야 초등학교 5학년·4학년 아이들이 엄마의 부고 소식을 접했다""고 말했다.이어 ""우발적 살인이라고 하는데 이미 사소한 시비가 끝나고 사과하며 인사까지 나누고 헤어진 상황에서 자기 차에 가서 범행 도구를 가져와 잔혹한 범행을 저질렀다""고 설명했다.그는 ""상식적으로 차에 흉기 자체를 소지하는 거부터 (문제이고) 누가 됐든 걸리면 이와 같은 불상사가 생겼을 것""이라고 했다.또 ""가해자는 제일 약한 여성들의 급소만 공격했다""며 ""다쳐 겁에 질려 도망가는 사람을 끝까지 쫓아갔다""며 분노했다.A 씨는 ""가해자는 살인 전과가 있는 사람이라고 하는데 경찰은 왜 이런 흉악범을 체포하고 조사가 어찌 이뤄지는지, 신상 공개 여부는 어찌 되는지 말이 없느냐""며 ""대체 몇 명의 피해자가 더 생겨야 하느냐""고 말했다.그러면서 ""많은 국민이 울분을 토하고 있다""며 ""흉악범의 신상을 공개하고 엄벌에 처하는 형량을 내려달라""고 촉구했다.한편 앞서 지난 13일 0시14분쯤 충남 천안 한 치킨집 앞에서 50대 남성 B 씨가 부부 모임을 하던 남녀 4명에게 흉기를 휘둘러 아내 2명이 숨졌다.당시 B 씨는 인근 노래방 화장실에서 부부 두 쌍의 남편 중 한 명과 말다툼을 벌이다 흉기를 휘두른 것으로 알려졌다.",249
4,"핵심요약서울의소리 이명수 기자 등에게 벌금형앞서 尹 서초구 아파트 주차장에 5차례 무단 침입재판부 ""주차장에 들어가 주민들 주거 평온 깼다""윤석열 대통령 당선인. 인수위사진기자단윤석열 대통령 당선인이 거주하는 아파트의 주차장에 무단 침입한 혐의로 재판에 넘겨진 인터넷 언론사 기자들에게 법원이 벌금형을 선고했다.서울중앙지방법원 형사5단독(조수연 판사)은 폭력행위 등 처벌에 관한 법률 위반 혐의로 기소된 서울의소리 이명수 기자 등 2명에게 각각 벌금 300만 원을 26일 선고했다.앞서 이들은 2020년 8월, 당시 검찰총장이었던 윤 당선인의 서울 서초구 한 아파트 지하 주차장에 5차례에 걸쳐 무단 침입한 혐의로 재판에 넘겨졌다. 아파트 보안 업체 직원에게는 부동산 매매 목적으로 왔다고 말해 출입한 것으로 나타났다.이에 재판부는 ""거짓으로 보안 업체를 속이고 주차장에 들어가 주민들의 주거 평온을 깨뜨렸다""라고 판단했다.다만 ""피고인들이 범행을 모두 인정, 반성하고 있고 범죄 목적으로 주차장에 침입한 것은 아니다""라며 ""주차장은 실내 주거공간보다 주거 평온을 해치는 정도가 덜한 점 등을 양형에 고려했다""라고 설명했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스",249
5,"기사내용 요약전임지방변회장 53명 ""검수완박 반대""""법안, 합리적인 입법 형성 과정 무시""'이재명 측근' 알려진 나승철도 참여[서울=뉴시스] 최진석 기자 = 박홍근(오른쪽) 더불어민주당·권성동(왼쪽) 국민의힘 원내대표가 26일 서울 여의도 국회의장실에서 박병석 국회의장 주재 ‘검수완박' 중재안 파행 위기에 따른 해법을 논의를 위한 회동에 앞서 기념촬영 뒤 자리로 이동하고 있다. (공동취재사진) 2022.04.26. photo@newsis.com[서울=뉴시스] 류인선 기자 = 전임지방변호사회장 협의회(회장 석왕기)가 '검수완박'(검찰 수사권 완전 박탈) 졸속 추진을 반대하며 ""검수완박은 검찰 개혁 목적 달성을 위한 수단이 될 수 없다""고 밝혔다.협의회는 26일 성명서를 통해 ""'검수완박’ 법안은 형사사법시스템을 변경하는 것으로, 이를 위해서는 여야의 합의는 물론이고 법률이 지향하는 방향과 내용도 국민적 공감대가 뒷받침되는 합리적인 입법 형성의 범위 내에 있어야 한다. 그러나 이번 법안은 이러한 절차가 무시됐다""고 밝혔다.이어 ""앞서 이루어진 검·경 수사권 조정도 국민의 불편과 일선의 혼란을 키우는 등 기대와 달리 성과를 거두지 못한 상황에서, 절차적 정당성 없이 재차 제도개혁을 추진하는 것은 국민들의 사법제도에 대한 불신을 키울 수밖에 없다""고 지적했다.그러면서 ""검찰의 수사권한을 줄이거나 없애는 것만으로는 기존에 드러난 검찰의 문제를 해결할 수 없다. 국민을 위한 검찰 개혁을 위해서는 변호사의 권한이나 국민 참여를 확대하여 검찰과 경찰의 권한 남용을 견제하도록 하는 것이 바람직하다""고 강조했다.이번 성명서에는 나승철 전 서울변회 회장을 포함해 서울·경기북부·인천·경기중앙·강원·충북·대전·대구·부산·울산·경남·광주·전북·제주변회의 전임 회장 총 53명이 참여했다.특히 나 전 회장은 이재명 더불어민주당 상임고문(전 대선후보)의 법조계 측근으로 꼽히는 인물로 알려져 눈길을 끈다. 나 전 회장은 2017년 이 고문의 대선캠프에 합류했다.그는 이 고문의 공직선거법 위반 혐의 사건의 변호인단에도 포함된 적이 있다. 이 사건은 지난 2020년 무죄가 확정됐다. 그 외에도 이 고문의 부인 김혜경씨의 일명 '혜경궁 김씨' 사건 등을 맡기도 했다．",249
6,"  더불어민주당과 국민의힘이 합의했던 ‘검수완박’(검찰 수사권 완전 박탈) 관련 박병석 국회의장의 중재안에는 “범죄의 단일성과 동일성을 벗어나는 수사를 금지한다(별건 수사 금지)”라는 내용이 있다. 모호했던 이 같은 내용이 점점 구체화하는 모양새다. 국회 법제사법위원회에서 ‘검사는 사법경찰관으로부터 송치받은 사건에 관하여는 동일한 범죄 사실의 범위 내에서 수사해야 한다’(196조 2항) ‘검사 또는 사법경찰관은 수사를 개시한 때에는 동일한 범죄사실의 범위 내에서 수사해야 한다’(198조 4항) 등의 신설 조항으로 형사소송법에 담기는 방안이 검토되고 있어서다.      이와 관련, 26일 검찰 안팎에선 “검사의 추가 보완수사를 원천 차단하는 독소조항”(한 검찰 간부)이란 비판이 쏟아졌다. 복수의 검사들은 6대(부패·경제·공직자·선거·방위사업·대형참사) 중요범죄 수사개시 권한을 단계적으로 폐지하는 것보다 경찰 송치사건에 대한 보완수사의 범위를 ‘동일한 범죄사실’로 제한한 게 더 문제라고 지적했다. “일체의 추가 수사가 제한돼 현행 규정상 보완수사가 가능한 것으로 해석되는 범죄가 암장되고 수사의 효율성과 신속성 측면에서 심각한 문제가 야기될 수 있다”(정진우 서울중앙지검 1차장검사)는 이유에서다.      이정수 서울중앙지검장(오른쪽 세 번째) 등 서울중앙지검 지휘부가 26일 서울 서초동 서울중앙지검 브리핑실에서 '검찰청법-형사소송법 개정안 중재안 관련 설명회'를 열고 취재진의 질문에 답하고 있다. 왼쪽부터 윤진웅 사무국장, 진재선 3차장검사, 정진우 1차장검사, 이 지검장, 박철우 2차장검사, 김태훈 4차장검사. 뉴스1     ━   “별건수사와 추가범죄 수사는 달라”      특히 전국 성폭력사건 전담 평검사들은 전날(25일) “성폭력사건을 억울함 없이 처리하려는 전담 검사들로서는 도저히 받아들일 수 없는 내용을 담고 있다”며 “개념이 불분명한 ‘단일성·동일성’ 등의 용어는 성폭력 수사에 있어 대단히 큰 문제를 갖고 있고, 더 많은 억울한 눈물들을 만들지 않을까 심히 우려스럽다”고 꼬집었다. 이들은 “검사가 형사사법제도의 공백으로 명백한 추가 피해를 눈앞에 두고도 이를 방치하고 수사를 포기하도록 하는 것이 개정안의 목표냐”며 “범죄자에게는 ‘안도와 희망’을, 범죄 피해자에게는 ‘한숨과 절망’을, 수년간 전문성을 키워 온 저희 검사들에게는 자괴감만을 주게 된다”고 성토했다.      실제 성착취물을 제작·유포하고 범죄수익을 은닉한 혐의로 징역 42년형이 확정된 조주빈의 경우 경찰이 검찰에 사건을 송치할 때에는 청소년성보호법 위반 혐의 등만 적용됐지만, 검찰의 보완수사를 통해 범죄단체조직 혐의가 추가돼 형량이 대폭 늘었다. 그러나 중재안에 따르면, 경찰의 의도와 무관하게 밝혀내지 못한 추가 범행 등 여죄와 진범·공범을 밝히기 위해 검사가 택할 수 있는 건 경찰에 다시 보내 보완수사를 요구하는 것뿐이다. 정진우 1차장검사는 이날 기자간담회에서 “여죄를 밝혀내 기소하는 건 피고인이 재판을 한 번에 받을 수 있도록 하는 권익 보호 측면도 있다”며 “별건 수사와는 다르다. 별건 수사 금지는 현행 대통령령을 법으로 상향해도 좋다”고 부연하기도 했다.      권상대 대검찰청 정책기획과장(앞줄 오른쪽) 등 대검 관계자들이 25일 밤 국회 법제사법위원회 소위에 참석하기 위해 이동하고 있다. 국회사진기자단     ━   “수사범위 제한, 피의자·피해자 모두 인권침해”      검사나 사법경찰관이 수사 개시할때 ‘동일한 범죄사실의 범위 내’에서 수사하도록 한 신설 조항도 문제로 지적되고 있다. 한 검찰 간부는 “지하철 ‘몰카(몰래카메라)’범을 잡았는데 휴대전화에서 강간 혐의의 근거가 되는 자료가 확보되더라도 추가 수사는 못 하는 것이냐”며 “죄명과 범죄사실을 폭넓게 입건해 놓고 수사해야 수사 확대가 가능하도록 설계해 피의자 인권 침해를 조장하고 있다”고 말했다. 또 다른 검찰 간부는 “경찰이 의도적으로 사건을 부실 수사한 경우 검사가 통제할 방도가 없다”고 말했다. 지난해 1월부터 시행된 검·경 수사권 조정에 따라 검사의 수사지휘권도 이미 폐지돼 송치 전후를 막론한 사법통제가 불가하다는 취지다.      일례로 서울중앙지법 형사4단독 신혁재 부장판사는 지난 22일 가수 정준영씨가 2016년 8월 전 여자친구의 신체를 불법 촬영한 혐의로 고소당했을 때 ▶정씨의 변호인으로부터 ‘휴대전화기나 포렌식 자료의 확보 없이 사건을 신속하게 송치해 달라’는 청탁과 함께 식사를 제공받고 ▶정씨의 휴대전화를 확보하라는 상급자의 지시를 무시한 채 ▶범행 영상 확보 없이 수사보고서 등에 ‘정씨가 범행을 시인했다’ 등의 허위사실을 담아 형식적인 기소 의견으로 송치한 혐의(허위공문서작성 및 행사, 뇌물수수, 직무유기)로 경찰 간부 A씨에 징역 6월, 집행유예 1년을 선고했다. 중재안에 따르면, 이 같은 송치사건에 대한 ‘보완’은 검찰이 A씨와 같은 경찰공무원을 직무유기로 입건해야만 가능하다.      민주당의 계획대로 법안이 통과하면 당장 9월부터 검사의 수사 권한이 삭제되는 선거범죄의 경우 ▶난해한 법리 ▶최단기 공소시효(6개월) ▶권력기관 선거개입에 대한 수사 역량 사장 등으로 경찰 수사가 미진한 경우 검사가 보완할 수 있는 여지가 더 좁다는 지적(이희동 법무연수원 교수)도 나온다. 한 선거범죄 전담 검사는 “자신들이 만든 선거법을 어기고도 선거법 개정을 통해 법원에서 면소 등 ‘셀프 구제’를 받는 국회의원들이 이제는 선거범죄 수사마저 엉망으로 만들려고 한다”고 말했다.     ━   OECD 반부패기구도 “우려”      경제협력개발기구(OECD) 뇌물방지워킹그룹(WGB)의 드라고 코스 의장은 지난 22일 법무부에 “중재안이 통과될 경우 부패 범죄를 비롯, 모든 범죄에 대한 검찰의 수사 권한을 규정하는 법 조항이 일괄 삭제될 것으로 보인다”며 “중재안이 한국의 반부패와 해외뇌물범죄의 수사 및 기소 역량을 오히려 약화하는 일은 결코 없어야 한다고 말씀드리고자 한다. 나아가 해당 안을 오는 5월 10일 이전에 통과시키고자 하는 움직임에도 우려를 표하고 싶다”는 서한을 전달했다.      국제상거래에서 뇌물공여를 범죄로 규정한 최초의 국제적 합의인 OECD 뇌물방지협약 시행을 감독하는 WGB는 매년 OECD 회원국의 반부패 수사 관련 법제 등을 평가하는 반부패 관련 최고 권위기구다. WGB가 주도한 OECD 뇌물방지협약에 따라 한국도 국제뇌물방지법을 제정해 시행하며, 법무부와 국민권익위원회 관계자들이 매년 프랑스 파리 OECD 본부에서 열리는 WGB 회의에 참석해 국내 이행법이 협약의 내용을 충실히 반영해 적용되고 있는지 보고한다.  ",249
7,"기사내용 요약아침 기온 6~15도, 낮 기온은 16~24도내륙을 중심으로 일교차 15~20도 예상미세먼지 인천·충남 '나쁨'…나머진 '보통'[서울=뉴시스] 조성우 기자 = 수도권에 내린 비가 그치고 맑은 날씨를 보인 26일 오후 서울 남산에서 바라본 서울 하늘이 쾌청한 모습을 보이고 있다. 2022.04.26. xconfind@newsis.com[서울=뉴시스] 이준호 기자 = 수요일인 오는 27일은 전국이 대체로 맑은 가운데 무더위가 잠시 물러나면서 평년 기온을 되찾을 것으로 보인다. 다만 큰 일교차가 예상돼 건강관리에 유의해야겠다.기상청은 26일 ""내일(27일) 아침 기온이 큰 폭으로 떨어지겠고, 바람도 강하게 불어 체감온도는 더욱 낮겠다""며 ""내륙을 중심으로 낮과 밤의 기온차가 15~20도로 크겠다""고 전했다.내일 아침 최저기온은 6~15도, 낮 최고기온은 16~24도가 예상된다.주요 지역 아침 기온은 서울 10도, 인천 11도, 수원 9도, 춘천 8도, 강릉 14도, 청주 11도, 대전 10도, 전주 10도, 광주 11도, 대구 13도, 부산 15도, 제주 13도로 예상된다.낮 최고기온은 서울 23도, 인천 19도, 수원 21도, 춘천 24도, 강릉 19도, 청주 23도, 대전 23도, 전주 22도, 광주 23도, 대구 23도, 부산 20도, 제주 20도로 전망된다.    미세먼지 농도는 인천과 충남 '나쁨', 그 밖의 권역은 '보통' 수준이 예상된다. 다만 오전에 서울·경기·호남권·제주권은 '나쁨' 수준이 예상된다.내일 아침까지 중부지방과 전라권에 순간풍속 초속 15m 내외로 바람이 강하게 부는 곳이 있겠다.동해먼바다와 남해동부먼바다, 제주도해상에는 새벽까지 바람이 초속 8~16m로 매우 강하게 불고 물결이 2.0~4.0m로 매우 높게 일겠다．",249
8,"전 프로야구 삼성라이온즈 투수 안지만./사진=김현민 기자전 프로야구 삼성라이온즈 투수 안지만(38)이 인터넷방송 진행자에 대한 명예훼손·모욕 혐의 첫 재판에서 혐의를 부인했다.26일 대구지법 제5형사단독(부장판사 권민오) 심리로 진행된 안씨의 정보통신망법상 명예훼손 등 혐의 첫 공판에서 안씨는 '검찰의 공소사실을 인정하느냐'는 재판부의 질문에 ""인정하지 않는다""고 답했다.안씨는 지난해 4월 자신이 운영하는 인터넷방송 공지사항 게시판에 다른 인터넷방송 진행자에게 약식명령이 청구됐다는 허위의 사실을 게시한 혐의 등으로 재판에 넘겨졌다.애초 검찰은 안씨를 벌금 200만원에 약식기소했지만 안씨는 이에 불복, 정식재판을 청구했다.이날 재판부는 ""조금 더 법리적으로 가다듬을 필요가 있는 것으로 보인다""며 ""안씨의 국선변호인 신청에 따라 선정 후 증거에 대한 의견, 증인신문 등 공판 절차를 진행하도록 하겠다""고 말했다.앞서 안씨는 불법 스포츠 도박사이트 개설에 관계한 혐의로 2016년 재판에 넘겨졌고, 2018년 파기환송심에서 징역 6개월에 집행유예 2년을 선고받았다.안씨에 대한 다음 재판은 다음 달 24일 오전 11시에 열릴 예정이다.",249
9,"검수완박 중재안 조목조목 비판…'피해자 구제 포기' 법안서울 서초구 대검찰청. 2022.4.26/뉴스1 © News1 황기선 기자(서울=뉴스1) 김동규 기자 = 검찰이 26일에도 검수완박(검찰수사권 완전박탈) 중재안의 문제점을 조목조목 지적하며 국회를 설득하는 동시에 대국민 여론전에 나섰다. 서울중앙지검을 시작으로 각 지청에서도 중재안을 받아들일 수 없는 이유를 적극 호소하는 모양새다. 검찰의 지적을 요약하면 Δ무죄양산 Δ여죄수사 금지 Δ피해자구제 포기 Δ범죄암장 가능성 4가지로 요약된다.먼저 검찰은 검사의 직접 수사권과 기소권을 분리해 수사검사가 공판에 참여할 수 없다는 점에서 무죄가 양산될 가능성이 높아질 것이란 우려를 내놓고 있다. 검찰청법 제4조에 신설된 '범죄수사의 직무를 수행한 검사는 해당 사건에 대한 공소의 제기 및 그 유지에 필요한 직무를 수행할 수 없다'는 조항을 지적한 것이다.수사검사는 물론 사건을 결재한 부장검사, 차장검사, 검사장이 전혀 공판에 관여할 수 없게 돼 효율적 범죄입중이 어려워지고 결과적으로 무죄가 늘어날 것이라는 설명이다. 이는 마치 재판에서 심리판사와 선고판사를 따로 두는 것과 같은 불합리한 방식이라는 것이 검찰측 주장이다. 서울중앙지검도 이날 열린 중재안 설명회에서 수사검사와 기소검사를 분리한 중재안을 비판했다. 수사의 공정성과는 아무 관련이 없고, 효율적인 범죄 대응만 저해한다는 이유에서다.여죄수사 금지에 대한 우려도 나온다. 동일한 범죄사실의 범위 내에서만 검찰의 송치사건 보완수사가 가능하도록 국회 논의가 진행되는 것에 대한 우려다.  중앙지검은 ""별건수사 금지라는 중재안 취지를 넘어 단일성·동일성이라는 개념으로 일체의 추가 수사를 금지하는 것은 안된다""며 ""추가수사를 제한할 경우 단죄돼야할 범죄가 암장되고 수사의 효율성 및 신속성 측면에서 심각한 문제가 야기될 수 있다""고 강조했다. 신동원 대검 검사도 이날 '검수완박 조정의견의 문제점'이라는 자료를 통해 ""별건수사 금지가 시행되면 검찰과 경찰 모두 동일한 범죄사실에 대한 수사만 가능하므로 공범, 진범, 동종 범행 등 꼭 필요한 여죄 수사가 전부 금지된다""고 밝혔다. 검찰은 조주빈 사건을 대표적인 사례로 들었다. 중재안처럼 검찰 보완수사를 제한하면 조주빈에게서 범죄단체 조직 혐의를 추가 확인하지 못하고, 단순하게 아동청소년성보호법 위반으로만 기소할 수 밖에 없게 된다는 것이다. 중재안이 범죄피해자 등의 권리구제를 무책임하게 외면했다는 비판도 나온다. 형사소송법 제245조의7에서 고소장을 작성해 제출한 고소인만이 이의신청을 하게 할 수 있게 된 점을 지적한 것이다. 검찰은 고발인의 이의신청권이 막히게 돼 이후 검찰 단계에서 구제절차인 항고, 법원 구제절차인 재정신청 등을 할 수 없게 된다는 점을 우려했다. 중대범죄 중 선거범죄·공직자범죄·대형참사 삭제, 이의신청권자에서 피해자와 고발인 제외, 별건수사 금지, 수사검사 기소검사 분리로 인한 범죄암장도 중재안의 문제점으로 지적됐다. 주요 선거사건은 6개월이라는 초단기 공소시효 내 정확한 법리검토와 신속한 증거수집 등을 해야 하는데, 대체기관 등 아무 대안 없이 검찰 직접수사를 폐지하면 심각한 수사공백이 발생할 것이라고 검찰은 주장했다. 수사 초기부터 복수 기관의 상호 협력이 절대적으로 필요한 대형참사 수사에서도 직접수사가 폐지되면 검찰의 중대재해 수사가 제한될 것이라는 우려도 나왔다.신 검사는 검수완박 중재안에 대해 ""99%의 일반 서민들의 권리보호는 방치한 채 1%의 권력범죄 보호를 하는 권력자들의 범죄암장법""이라며 강하게 비판했다.",249
